Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,68.610001,69.050003,66.000000,67.059998,67.059998,16840661
2020-05-20,67.489998,67.559998,66.010002,66.349998,66.349998,7759535
2020-05-21,66.339996,66.900002,65.010002,66.459999,66.459999,8842800
2020-05-22,66.129997,68.000000,65.510002,67.639999,67.639999,4064681
2020-05-25,67.980003,67.980003,66.110001,66.540001,66.540001,854869
2020-05-26,67.190002,69.480003,67.050003,68.349998,68.349998,5386621
2020-05-27,68.790001,71.570000,67.610001,71.050003,71.050003,10996281
2020-05-28,71.050003,71.860001,69.660004,70.019997,70.019997,8801571
2020-05-29,69.949997,69.949997,66.500000,67.250000,67.250000,20019681
2020-06-01,67.400002,69.889999,66.900002,69.739998,69.739998,3385856
2020-06-02,70.000000,72.290001,69.120003,72.110001,72.110001,6233599
2020-06-03,72.300003,77.930000,72.300003,77.480003,77.480003,10529032
2020-06-04,77.709999,78.790001,76.419998,78.209999,78.209999,16302079
2020-06-05,79.000000,80.889999,79.000000,80.440002,80.440002,14837593
2020-06-08,80.989998,85.599998,80.410004,85.070000,85.070000,9002614
2020-06-09,85.389999,85.389999,80.529999,84.860001,84.860001,12317372
2020-06-10,84.919998,84.919998,81.410004,81.629997,81.629997,8292199
2020-06-11,80.760002,80.760002,73.940002,74.680000,74.680000,7896890
2020-06-12,75.629997,78.760002,75.610001,78.309998,78.309998,7630822
2020-06-15,77.510002,78.430000,76.010002,77.900002,77.900002,5649055
2020-06-16,79.089996,79.889999,77.330002,79.529999,79.529999,6850635
2020-06-17,80.000000,83.870003,79.839996,83.470001,83.470001,9104743
2020-06-18,83.000000,83.349998,81.199997,81.400002,81.400002,9399207
2020-06-19,81.839996,86.709999,81.839996,85.889999,85.889999,23924052
2020-06-22,85.470001,85.900002,82.510002,82.540001,82.540001,6791780
2020-06-23,83.190002,84.389999,81.500000,82.309998,82.309998,5204271
2020-06-24,81.510002,82.269997,81.010002,81.940002,81.940002,6642907
2020-06-25,81.879997,82.489998,81.010002,81.339996,81.339996,4826022
2020-06-26,80.709999,81.480003,78.809998,79.099998,79.099998,5521713
2020-06-29,79.800003,79.889999,77.389999,78.389999,78.389999,7399078
2020-06-30,78.199997,81.889999,78.000000,79.720001,79.720001,12610889
2020-07-01,79.529999,80.290001,78.139999,79.870003,79.870003,4877083
2020-07-02,80.400002,82.150002,80.309998,80.660004,80.660004,6648409
2020-07-03,80.660004,81.279999,80.099998,80.900002,80.900002,1251340
2020-07-06,81.489998,81.779999,80.040001,81.480003,81.480003,6319595
2020-07-07,80.989998,82.489998,80.839996,82.099998,82.099998,5461992
2020-07-08,82.489998,82.580002,81.440002,81.760002,81.760002,6851228
2020-07-09,81.129997,82.089996,80.910004,81.269997,81.269997,5294576
2020-07-10,80.959999,81.059998,78.290001,79.389999,79.389999,6168204
2020-07-13,80.089996,80.250000,79.260002,80.099998,80.099998,6251872
2020-07-14,79.599998,80.089996,79.599998,79.779999,79.779999,6862579
